lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
215,0,177.09,11,6,4,5,2,0,0,0
64,0,121.72,11,7,4,3,1,3,0,1
107,0,150.3,8,17,4,4,1,0,3,0
221,0,65.0,10,10,3,1,2,0,0,1
150,0,101.0,1,2,3,1,2,1,0,1
11,0,145.0,7,10,4,2,2,0,0,0
59,0,70.72,11,17,4,3,0,0,0,1
160,0,80.1,10,29,4,1,0,3,0,0
38,0,125.62,11,5,4,1,2,0,3,0
50,0,145.69,11,9,4,2,0,0,0,0
190,0,95.0,6,22,3,4,1,0,0,1
33,4,147.25,9,26,4,1,1,0,3,1
176,0,116.1,9,8,3,3,0,0,0,0
29,0,130.0,12,17,4,1,0,1,0,1
117,1,90.4,12,20,4,7,2,0,0,1
99,1,101.58,4,28,4,3,1,0,0,1
0,0,84.0,3,2,3,1,0,3,0,1
6,0,67.0,9,26,2,0,1,0,0,1
30,1,186.22,11,2,4,9,4,0,5,0
29,1,129.0,10,20,4,2,0,0,0,0
14,0,174.0,12,2,4,1,0,0,5,1
259,1,73.95,12,7,4,4,0,0,0,1
56,0,120.0,6,8,3,1,0,0,0,1
110,0,80.0,10,9,4,1,2,0,0,0
1,0,101.0,3,28,4,0,1,0,0,1
8,1,189.0,8,8,4,1,1,1,0,0
18,1,139.0,7,15,4,2,0,3,0,0
40,1,125.0,7,26,3,1,0,1,0,1
55,0,104.0,4,6,3,1,0,1,0,1
1,1,0.0,1,8,4,0,0,3,0,1
8,1,98.0,6,1,2,1,0,0,0,1
81,0,90.95,4,8,4,3,2,0,0,0
78,0,97.33,4,5,4,4,0,0,3,0
126,2,90.53,12,27,3,3,0,0,3,1
205,0,90.0,5,29,3,1,2,0,0,0
152,2,130.05,7,13,4,5,2,0,3,0
1,0,154.5,10,18,4,2,0,0,0,1
120,0,126.9,6,10,4,2,1,0,0,0
46,0,67.5,3,4,4,2,0,3,0,0
19,0,156.5,4,14,4,3,1,0,3,0
95,2,89.25,9,18,4,2,1,0,0,1
13,2,80.0,8,18,4,2,0,0,0,1
195,2,108.9,10,2,4,1,2,0,0,0
5,4,0.0,8,24,1,2,0,0,0,1
186,1,96.3,7,28,4,2,0,0,0,0
58,1,92.75,10,10,4,1,2,0,0,1
346,1,115.0,9,13,3,2,0,1,0,0
168,0,96.8,10,4,3,4,0,0,0,0
49,0,65.0,9,22,2,1,0,0,0,1
24,0,50.0,12,5,2,1,2,0,0,1
124,1,90.9,7,3,4,0,2,0,0,1
50,0,60.0,11,17,3,3,0,0,3,1
74,0,109.0,9,18,3,2,0,1,0,1
4,0,64.0,1,25,2,0,1,0,0,1
1,0,90.0,9,9,2,2,0,0,0,1
12,0,139.0,7,24,4,0,1,3,0,1
166,0,110.0,11,1,3,3,0,0,0,0
7,0,75.2,11,24,4,1,0,0,0,1
205,2,76.5,7,25,4,1,2,0,0,1
18,0,112.33,4,15,4,2,1,0,0,0
1,0,46.0,1,30,3,1,0,0,3,1
116,0,59.5,3,25,3,2,2,0,0,0
28,3,109.7,9,5,4,2,1,0,0,1
65,3,149.4,9,15,4,5,2,0,3,1
50,0,99.9,4,4,4,1,1,0,0,1
28,1,108.42,6,14,4,3,0,0,3,1
42,0,75.0,11,7,3,3,1,0,0,1
282,0,76.67,10,10,3,1,2,0,0,1
27,0,136.0,9,19,3,0,1,0,0,0
103,0,78.3,3,18,4,2,0,0,0,1
56,1,120.38,9,3,4,2,2,0,3,1
191,0,132.0,6,3,3,2,1,0,0,0
13,0,79.0,7,11,2,1,1,0,0,1
159,0,70.5,12,29,3,4,0,0,0,1
273,0,109.0,7,17,3,2,0,1,0,0
78,0,82.45,3,31,4,3,2,0,0,1
41,0,76.5,8,15,3,2,1,0,0,1
124,0,96.56,8,7,3,3,2,0,3,1
9,0,79.0,12,21,2,2,0,0,0,1
30,1,80.47,11,4,4,1,0,3,0,0
64,0,130.0,5,17,2,2,0,0,0,1
28,0,97.0,9,10,3,2,0,0,3,1
59,0,60.0,11,19,3,3,0,0,3,1
0,2,0.0,2,17,1,1,0,0,5,1
54,0,85.0,4,30,3,1,2,3,0,1
33,0,83.9,3,5,4,1,1,0,0,1
42,0,80.3,2,20,4,1,0,0,0,1
19,0,90.0,10,6,3,3,0,0,0,1
193,0,120.0,6,20,3,2,1,0,0,0
11,3,135.0,10,2,4,0,2,3,0,1
17,3,97.41,4,10,4,0,2,0,0,1
30,0,121.0,9,30,3,2,0,1,0,1
73,0,62.5,10,28,3,1,0,0,0,1
24,0,45.5,2,29,3,3,1,0,0,1
171,1,93.84,7,25,4,3,1,0,3,1
66,1,80.55,2,9,4,3,0,0,1,1
15,1,107.75,9,11,4,2,2,3,0,1
7,1,90.0,8,17,4,2,1,0,0,1
1,1,65.76,12,5,4,3,1,0,0,1
2,0,127.0,6,30,4,1,0,3,0,1
36,2,126.9,5,21,4,2,2,0,0,1
31,0,107.1,6,20,4,1,1,0,3,0
9,1,120.0,10,19,4,3,1,0,0,1
247,1,115.0,6,6,3,1,1,1,0,0
106,0,152.1,8,24,4,4,0,0,3,0
75,0,80.75,9,17,3,1,1,0,0,1
8,2,124.0,9,4,4,2,0,0,0,1
38,0,135.9,5,7,4,1,1,0,0,0
58,0,118.8,4,22,4,2,0,0,3,0
331,2,110.78,12,27,4,5,1,0,3,0
6,2,163.33,8,13,4,1,2,0,0,1
61,0,91.0,10,4,3,0,2,0,0,1
39,0,60.97,1,1,4,3,2,3,0,1
0,0,65.0,11,23,2,0,1,0,0,1
29,0,87.0,3,2,3,4,1,0,0,1
29,2,152.0,10,5,4,2,0,0,0,1
303,0,78.0,8,19,3,3,2,0,0,0
139,0,99.9,5,15,4,1,2,0,0,0
142,1,122.84,6,28,4,5,2,0,3,1
66,2,130.5,7,24,4,0,2,0,0,1
188,0,130.0,6,15,3,2,0,0,0,0
32,0,85.0,11,20,3,2,0,0,0,1
122,0,85.0,4,15,3,2,0,0,0,1
327,0,88.0,9,9,3,4,2,1,0,1
102,0,101.5,10,16,3,2,0,1,0,0
76,0,63.75,7,25,3,1,1,3,0,0
90,0,112.88,9,7,3,3,0,0,3,1
53,0,68.0,11,14,3,3,1,0,0,1
159,0,103.21,6,12,4,2,2,0,1,0
34,0,60.0,11,1,3,1,2,0,3,1
0,1,0.0,1,20,1,1,0,0,6,1
48,1,139.5,10,9,4,0,2,0,3,0
62,1,115.5,9,5,4,2,1,0,3,1
77,0,159.3,5,17,4,3,0,0,0,0
40,0,65.0,2,27,3,1,0,0,0,1
153,1,108.45,7,23,4,2,2,0,0,0
8,2,90.0,8,26,4,4,0,0,0,1
71,0,198.9,4,29,4,2,1,0,5,0
1,0,65.6,11,24,4,1,0,3,0,1
35,0,74.8,12,1,4,3,1,3,0,0
37,0,105.0,10,13,3,3,0,0,0,1
146,0,75.0,12,29,3,3,0,0,0,1
79,0,76.5,9,4,3,1,2,0,0,1
4,1,77.0,1,9,4,1,0,3,0,1
0,0,158.0,6,2,4,1,0,0,0,1
120,0,125.55,8,15,4,3,1,0,3,0
14,2,145.67,9,2,4,2,1,0,0,1
115,0,76.0,2,27,3,3,2,0,0,1
153,2,80.1,10,27,4,1,0,3,0,0
101,0,132.6,5,25,4,4,0,0,3,1
142,0,108.3,8,24,4,3,0,0,0,1
66,0,75.0,10,9,3,2,1,0,0,0
49,0,78.3,3,4,4,2,1,0,0,0
29,1,139.0,9,29,4,1,0,0,0,0
45,2,207.9,8,20,4,1,0,0,5,1
73,0,159.3,4,3,4,1,2,0,5,0
16,1,129.0,9,27,4,2,0,3,0,0
258,0,110.0,10,16,4,0,1,0,0,0
23,0,109.0,1,2,3,1,2,1,0,1
12,1,72.07,2,23,4,3,0,0,0,1
75,2,115.85,5,22,4,2,2,0,0,1
265,1,115.0,6,24,3,2,0,1,0,0
126,1,88.68,4,19,4,5,1,0,0,1
50,1,122.0,10,31,4,3,1,0,3,1
63,0,94.5,4,21,4,3,0,3,0,0
263,0,59.5,9,21,3,0,1,0,0,1
102,0,109.0,10,16,3,2,0,1,0,1
109,0,129.6,9,1,4,3,0,0,0,0
94,0,149.7,7,28,4,3,0,0,3,1
7,1,119.0,4,22,4,2,0,3,0,0
91,1,58.9,4,9,4,1,1,3,0,1
122,0,94.5,5,17,4,3,0,3,0,1
111,2,88.4,12,24,4,2,2,0,0,1
100,0,108.0,10,16,4,1,0,1,0,0
41,1,70.0,12,27,3,5,1,0,0,1
42,1,85.0,9,24,3,1,0,0,0,1
36,2,88.4,12,21,4,4,1,0,0,1
88,1,82.45,3,30,4,5,2,0,0,1
20,0,85.5,9,21,3,1,0,0,0,1
125,0,99.9,7,29,4,1,0,0,0,1
73,0,85.67,11,24,3,3,0,0,0,1
118,0,110.0,6,6,3,2,1,0,0,1
83,0,75.0,12,18,3,1,2,0,0,1
68,0,79.56,4,24,3,2,2,0,0,0
144,0,112.0,7,3,3,2,2,0,0,1
184,1,65.29,10,17,4,6,2,0,1,1
48,0,131.4,4,1,4,3,2,0,3,0
4,0,121.0,5,31,2,2,0,0,0,1
45,0,96.3,9,18,3,2,2,0,3,1
42,1,152.1,8,16,4,2,0,0,0,1
118,0,110.0,6,6,3,3,1,0,0,1
92,0,90.0,11,11,3,1,0,0,0,1
21,1,117.0,10,7,4,2,0,0,3,1
0,0,62.8,12,24,3,3,2,0,0,1
239,1,107.0,7,12,4,2,0,0,0,0
0,0,106.0,12,28,4,0,1,0,0,1
88,1,150.3,8,19,4,1,0,0,3,1
1,0,95.0,9,20,0,1,0,0,0,1
114,0,189.0,7,14,4,3,0,1,3,0
31,1,76.23,12,19,4,1,0,3,0,1
57,1,90.67,6,10,3,2,1,0,0,1
48,0,130.0,9,14,3,2,0,0,0,1
5,1,149.0,7,5,4,2,0,0,0,1
280,1,91.8,11,16,4,3,0,0,3,0
58,1,94.5,10,9,4,2,0,0,0,1
0,1,106.25,12,27,4,1,0,1,0,1
7,1,67.0,7,11,2,1,1,0,0,1
22,1,154.0,11,17,4,3,0,0,3,0
85,1,85.0,10,6,3,3,1,0,0,1
16,2,125.0,11,19,4,1,0,0,0,1
147,1,123.3,8,14,4,1,2,0,0,1
189,4,96.3,10,28,4,2,1,0,0,1
7,0,251.5,9,25,4,5,3,0,5,0
14,0,87.0,2,24,3,3,0,0,0,1
173,1,65.49,7,11,4,3,1,0,0,1
6,0,86.5,12,18,4,1,0,0,1,1
289,0,67.0,10,17,3,1,0,0,0,1
118,2,107.25,12,11,4,2,1,0,0,1
160,1,97.56,7,18,4,6,3,0,0,1
33,0,63.58,3,16,3,4,1,0,0,1
151,1,143.28,12,29,4,3,0,0,0,0
76,0,69.33,4,12,4,3,0,0,0,1
115,2,107.41,12,29,4,2,0,0,3,1
53,1,119.1,4,25,4,2,1,0,3,0
222,1,100.58,8,28,4,4,2,0,0,0
209,0,100.8,8,19,4,2,0,0,0,0
33,2,125.1,5,24,4,2,0,0,0,1
37,0,95.0,10,13,3,3,0,0,0,1
54,1,90.1,11,11,4,2,2,0,0,1
6,0,78.2,11,4,3,4,1,0,3,1
112,0,100.0,6,2,3,2,0,0,0,1
263,0,110.0,10,21,3,2,0,0,0,0
180,0,112.2,8,3,4,5,2,0,3,0
0,0,95.0,1,2,4,1,0,3,0,1
141,2,119.85,6,15,4,4,0,0,0,1
26,0,120.0,6,8,3,1,0,0,0,1
2,0,81.6,12,17,4,2,2,0,0,1
279,0,110.0,10,12,3,3,0,0,0,0
301,0,109.0,7,30,3,1,1,1,0,0
118,0,109.86,6,20,4,3,1,0,0,0
141,1,163.8,9,23,4,2,0,0,3,1
124,0,143.1,9,20,4,5,1,0,3,0
35,2,74.8,11,29,4,11,4,3,0,0
58,0,90.0,1,27,3,3,0,0,0,1
95,0,132.3,10,20,4,3,0,0,3,0
266,0,80.75,10,7,3,3,2,0,0,1
41,2,130.9,12,2,4,2,2,0,3,1
160,0,94.5,7,25,4,2,1,3,0,0
207,0,99.45,8,7,4,2,2,0,3,0
61,0,63.58,3,19,3,2,2,0,0,1
1,0,106.4,7,6,3,1,0,3,0,1
15,0,133.2,4,6,4,4,1,0,3,0
57,3,85.5,10,28,4,2,0,0,0,1
15,1,107.99,11,5,4,4,2,0,0,1
165,2,99.45,7,21,4,3,2,0,0,1
17,1,151.0,6,30,4,3,0,0,0,0
7,2,131.0,4,23,4,1,1,0,0,1
377,1,115.0,10,14,3,2,0,1,0,0
21,1,139.0,7,5,4,5,0,3,0,1
149,0,122.04,7,5,4,5,2,0,0,1
3,0,46.54,8,31,3,3,1,0,0,1
31,0,74.8,11,17,4,3,1,3,0,0
118,2,110.8,12,28,4,4,1,0,0,1
269,0,70.0,12,29,3,3,2,0,0,1
6,1,70.0,12,27,3,5,1,0,0,1
28,2,116.56,9,19,4,3,2,0,0,1
44,0,87.2,12,3,3,2,2,0,3,1
89,1,127.8,7,14,4,2,0,0,3,0
301,1,115.0,7,30,3,1,1,1,0,0
72,1,67.22,3,31,4,3,0,0,0,1
166,0,80.75,7,5,4,5,0,3,0,0
8,2,103.0,11,21,4,0,1,0,0,1
0,1,102.0,8,1,4,0,1,0,0,1
18,3,75.0,11,8,2,1,0,0,0,1
31,0,75.0,9,16,3,2,1,0,0,1
2,0,65.0,8,7,2,1,2,0,0,1
12,0,111.35,5,31,4,3,0,0,0,0
210,0,105.4,10,21,3,2,2,0,0,0
22,0,62.0,11,17,2,1,0,0,0,1
63,1,126.0,4,2,4,1,1,0,3,1
29,2,98.98,10,13,4,4,0,0,0,1
322,0,52.0,12,9,3,2,0,0,0,1
320,0,90.0,8,18,3,2,0,1,0,1
108,0,72.25,7,10,3,2,2,0,0,1
50,1,76.92,6,22,4,1,0,0,0,1
66,1,127.38,8,4,4,1,0,0,1,1
62,1,69.5,3,4,4,2,1,3,0,1
92,0,90.95,4,25,4,3,1,0,0,0
35,1,104.85,10,17,4,1,1,0,0,1
25,0,85.0,7,23,3,3,2,0,0,1
88,1,90.0,10,7,2,2,0,0,0,1
51,0,79.2,11,12,4,1,1,3,0,0
160,0,70.67,12,30,3,3,0,0,0,1
9,3,141.0,6,17,4,2,1,0,0,1
93,0,115.0,10,15,3,1,2,0,0,0
8,0,97.02,10,20,4,4,0,0,0,1
157,0,108.66,8,31,4,3,0,0,1,0
86,0,90.23,10,31,4,3,1,0,0,0
55,2,139.5,10,13,4,3,2,0,3,1
97,2,76.5,7,8,4,4,1,0,0,0
166,0,110.0,11,1,4,3,0,0,0,0
221,0,73.0,8,12,3,1,0,1,0,1
163,0,100.8,10,5,3,3,0,0,0,0
124,0,94.5,8,8,3,1,2,1,0,1
35,2,199.0,11,7,4,3,1,0,0,1
120,0,104.4,10,31,4,0,1,0,3,1
40,2,134.1,7,19,4,2,0,0,3,1
25,1,109.0,5,30,4,1,1,3,0,1
100,0,108.0,10,16,3,1,0,1,0,0
64,1,126.0,11,18,4,2,1,0,3,1
2,0,0.0,10,9,4,2,2,0,0,1
45,1,95.1,6,26,4,1,2,3,0,1
126,0,126.0,8,15,4,4,1,0,3,1
231,2,78.3,12,2,4,2,1,0,0,0
51,1,158.4,8,23,4,2,0,0,3,1
37,2,94.18,11,25,4,4,1,0,0,1
150,1,107.57,8,10,4,4,0,0,3,1
221,2,115.5,9,29,4,3,0,0,0,0
273,0,109.0,7,17,4,2,0,1,0,0
79,0,143.1,7,9,4,3,2,0,3,1
196,1,99.45,8,1,4,5,2,0,3,1
259,0,90.0,5,5,4,3,0,0,0,0
210,0,86.0,10,8,3,3,1,1,0,0
296,1,117.0,9,21,3,4,0,1,0,0
182,2,96.3,7,28,4,1,0,0,0,0
36,1,116.1,6,16,4,1,0,3,0,1
10,0,110.0,5,29,2,5,3,0,0,1
11,1,140.0,11,5,4,1,0,0,3,0
101,0,68.0,7,9,3,2,2,0,0,0
74,3,137.7,7,13,4,4,0,0,3,1
30,0,65.0,9,6,2,1,2,0,0,1
103,0,115.0,4,19,3,2,0,0,0,0
73,1,76.5,4,3,4,1,2,3,0,1
26,0,74.8,12,22,4,3,1,0,0,0
12,0,75.2,12,14,4,1,0,0,0,1
92,0,70.0,10,7,3,4,0,0,0,1
31,2,80.0,7,22,3,2,1,0,0,1
131,0,164.25,7,25,4,1,1,1,0,0
13,0,152.67,6,2,4,3,0,0,3,0
5,0,109.0,7,29,4,1,0,3,0,1
2,0,95.0,4,21,3,3,0,0,0,1
60,0,121.98,12,2,4,2,2,0,3,0
26,0,101.0,6,23,4,1,0,0,0,0
163,2,76.5,8,19,4,4,2,0,0,1
161,0,130.0,3,25,3,2,1,1,1,0
204,0,141.3,10,7,4,2,0,0,3,0
37,1,78.5,2,14,4,0,2,3,0,1
52,2,72.76,9,7,4,1,1,0,0,1
4,1,133.33,10,27,4,3,0,3,0,0
5,1,109.0,8,1,4,1,1,3,0,0
163,0,100.0,6,5,3,2,2,0,0,0
15,1,89.0,6,14,4,1,0,3,0,1
239,0,90.6,6,15,3,2,0,1,0,0
6,1,169.93,9,12,4,1,1,0,3,1
147,0,72.25,7,25,3,5,2,0,0,1
12,0,104.0,12,4,4,0,2,0,0,1
7,0,65.0,8,19,2,2,0,0,0,1
185,0,89.25,8,13,4,5,2,3,0,0
124,0,74.8,12,4,4,4,2,3,0,0
28,2,110.0,10,28,4,2,0,3,0,1
141,1,111.15,6,5,4,0,2,0,0,1
12,1,150.5,8,16,4,2,0,3,0,1
1,0,65.0,12,3,2,1,0,0,0,1
56,1,125.1,7,27,4,1,0,3,0,1
61,0,73.0,10,4,3,0,2,0,0,1
85,0,96.3,4,15,4,2,1,0,0,0
136,0,118.8,10,5,4,4,0,0,0,0
9,0,65.0,11,22,2,1,2,0,0,1
14,1,110.0,10,15,3,2,0,0,0,1
63,2,91.63,11,9,4,4,1,0,0,0
47,2,94.5,10,20,4,2,0,0,0,1
18,0,73.95,1,12,4,2,0,0,0,1
46,0,124.71,11,7,4,5,1,0,0,1
0,1,165.0,8,17,4,2,0,0,3,1
40,0,201.95,3,25,4,2,1,0,6,0
177,0,82.96,7,27,4,2,0,0,3,0
11,0,87.0,2,19,3,2,1,0,0,1
37,1,111.6,6,29,3,1,0,0,0,1
285,0,100.0,10,3,3,3,1,0,0,0
12,0,130.0,10,20,2,2,0,0,0,1
36,1,100.95,10,9,4,1,2,0,0,1
79,1,95.2,4,4,4,3,1,0,3,1
10,2,78.5,1,17,4,5,2,3,0,1
17,0,100.38,12,8,4,3,1,0,0,1
9,0,65.0,12,10,2,1,0,0,0,1
101,0,103.6,4,11,4,2,1,0,3,1
28,0,57.0,2,26,3,2,1,0,0,1
103,0,94.5,7,18,3,1,2,1,0,1
68,0,86.4,11,25,4,2,0,0,0,1
82,2,185.03,7,2,4,1,0,0,6,1
137,1,90.0,12,9,4,2,1,0,0,1
63,1,63.75,3,10,4,3,1,3,0,1
3,1,131.0,4,27,4,2,0,0,0,1
0,0,0.0,4,21,1,1,0,0,6,1
245,0,75.0,6,17,3,2,0,0,0,0
153,1,115.2,6,4,4,1,2,0,0,0
14,3,113.14,9,5,4,5,2,0,0,1
8,1,135.0,10,20,4,2,0,0,0,1
34,1,119.5,6,12,4,1,2,0,1,1
7,1,152.0,9,14,4,2,1,0,0,1
70,0,75.95,3,3,4,3,2,0,0,1
38,1,126.9,5,23,4,2,1,0,0,0
71,0,120.0,6,14,3,3,0,0,0,1
52,0,145.24,10,23,4,3,2,0,4,0
20,1,68.85,11,11,4,5,2,0,0,1
301,0,52.0,11,18,4,2,0,0,0,0
97,0,89.25,9,3,4,3,0,0,0,1
129,0,132.88,7,26,4,5,1,0,3,0
37,0,85.5,9,25,3,0,1,0,0,1
69,0,120.0,6,12,3,4,2,0,0,0
92,0,101.52,5,30,3,2,1,0,0,1
4,2,112.2,12,27,4,4,0,0,3,1
85,0,119.7,8,3,4,3,0,0,0,0
3,0,95.0,11,21,4,0,1,3,0,0
9,0,166.0,7,14,4,2,0,0,3,1
39,0,118.0,10,3,4,2,1,0,0,1
102,0,87.0,10,16,3,2,0,1,0,1
296,0,158.4,7,24,4,5,2,0,5,0
27,2,104.0,12,7,4,3,0,0,0,1
154,2,151.2,10,17,4,3,1,0,3,0
124,1,118.8,7,16,4,1,2,0,3,0
188,0,130.0,6,15,4,2,0,0,0,0
6,0,65.0,8,12,2,1,0,0,0,1
180,0,137.7,8,23,4,2,0,0,3,0
132,2,153.0,11,25,4,2,0,0,5,1
64,2,116.1,4,29,4,2,1,3,0,1
79,0,60.0,12,11,3,2,1,0,3,1
100,1,106.03,7,12,4,3,0,0,0,1
5,0,126.75,4,4,4,5,3,0,3,0
32,1,0.0,11,15,4,0,0,3,0,1
110,0,168.3,9,23,4,2,0,0,3,0
148,0,116.1,6,17,4,2,0,3,0,0
14,0,94.35,5,30,4,0,1,0,0,0
8,0,125.0,5,1,4,0,1,0,0,0
28,1,135.0,5,19,4,1,0,0,0,1
179,0,113.4,9,30,4,2,2,0,0,0
292,0,90.0,7,21,3,2,0,1,0,1
80,2,86.47,11,6,4,2,0,0,0,1
1,0,86.0,9,25,3,3,2,0,0,1
41,1,112.0,11,2,3,4,1,0,0,1
36,0,97.2,10,3,4,1,1,3,0,0
115,0,76.0,2,27,3,2,2,0,0,1
250,0,95.0,9,26,4,3,1,0,0,0
322,0,80.0,5,19,3,3,1,0,0,0
139,2,99.45,5,5,4,3,1,0,0,1
9,0,82.92,3,30,4,1,0,0,0,1
123,1,126.3,5,6,4,2,0,0,3,1
273,0,95.0,5,13,4,2,1,0,0,0
65,1,149.4,9,9,4,2,0,0,3,1
200,3,82.92,10,31,4,2,1,0,1,1
22,1,94.86,9,26,4,3,1,0,3,1
28,0,82.65,10,15,4,3,0,0,0,1
81,3,117.9,8,14,4,2,2,0,0,1
99,0,80.0,2,19,2,1,0,0,0,1
144,1,105.4,4,22,3,2,1,0,0,0
58,0,81.0,1,27,3,2,0,0,0,1
168,0,85.0,4,22,3,2,1,0,0,0
20,1,102.0,11,1,4,4,0,0,0,0
2,1,106.5,12,18,4,0,2,0,0,1
125,2,90.67,7,2,4,4,2,3,0,1
125,1,68.0,12,27,3,3,0,0,0,1
87,2,89.25,9,15,4,3,0,0,0,1
91,2,126.0,7,20,4,2,0,0,0,1
0,0,126.0,10,12,4,1,1,0,0,1
77,3,132.3,10,7,4,2,1,0,3,1
3,1,120.0,10,16,4,0,1,3,0,1
178,0,106.0,8,22,2,3,1,0,4,0
58,1,128.1,9,4,4,4,2,0,3,0
29,0,84.67,12,30,3,4,2,0,0,1
1,1,120.0,6,2,4,3,0,0,0,1
14,0,76.5,9,27,3,1,0,3,0,1
68,3,135.0,10,8,4,1,2,0,0,1
9,1,88.0,12,5,4,2,1,3,0,1
95,0,126.9,5,7,4,1,0,0,0,0
162,0,115.0,10,14,3,2,2,0,0,0
35,2,128.7,4,18,4,1,1,0,3,1
257,0,101.5,7,1,3,2,0,1,0,0
256,1,115.0,6,15,3,2,0,1,0,0
92,1,90.0,1,16,4,1,1,0,0,1
6,0,87.78,7,19,4,2,0,3,0,0
25,1,155.0,5,21,4,1,1,0,3,1
16,1,166.0,7,30,4,1,1,0,3,1
95,0,149.58,7,30,4,6,4,0,3,0
179,0,114.3,8,22,4,0,1,0,0,0
13,1,125.0,6,26,4,0,2,0,0,0
145,0,69.56,4,29,4,4,2,0,0,1
164,0,100.0,10,2,3,2,0,0,0,1
273,0,95.0,5,13,3,2,1,0,0,0
286,0,117.0,9,16,3,2,0,1,0,0
386,1,115.0,10,23,3,0,2,1,0,0
1,2,75.0,11,29,3,1,0,0,0,1
4,0,154.5,12,19,4,1,0,0,1,1
45,1,94.5,10,22,4,2,0,0,0,1
29,2,119.0,10,18,4,5,0,3,0,1
83,0,90.6,9,30,3,1,0,1,0,1
27,0,85.0,10,16,3,0,2,0,0,1
84,0,126.9,5,16,4,2,1,0,0,0
197,1,86.9,8,11,4,1,0,0,3,0
3,1,81.0,8,10,4,3,1,3,0,1
58,0,96.08,4,21,4,3,2,0,4,1
1,1,111.0,8,1,4,0,1,0,0,1
0,1,117.04,10,9,4,2,0,3,0,1
57,1,88.4,12,2,4,2,2,0,0,1
259,2,140.43,12,28,4,4,1,0,0,1
16,0,79.75,11,20,2,4,2,0,0,1
8,1,139.0,3,25,4,2,0,3,0,1
20,2,175.0,8,21,4,1,2,0,3,1
230,0,109.65,9,18,4,2,2,3,0,0
92,2,89.25,7,15,4,4,0,0,3,0
44,1,125.1,8,22,4,2,1,3,0,1
43,0,85.0,10,13,3,1,0,0,0,1
48,0,73.51,10,2,4,2,1,0,0,1
154,0,100.8,8,24,4,2,0,0,0,0
50,0,260.9,7,4,4,1,1,0,6,0
153,1,72.25,10,16,3,2,2,3,0,1
45,1,152.1,9,15,4,1,0,0,0,1
74,3,88.4,12,5,4,4,1,0,0,1
151,2,164.05,12,26,4,3,1,1,3,1
66,0,168.3,8,6,4,2,2,0,3,0
27,0,111.2,9,26,4,1,1,0,0,0
160,0,70.0,12,30,3,3,0,0,0,1
72,0,108.0,9,18,3,1,0,1,0,1
